station;year;month;day;period;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
6;2019;12;28;N;067.9;074.9;071.5;065.3;059.1;053.2
6;2019;12;28;T;069.3;075.9;072.8;066.5;060.9;055.0
8;2019;12;28;D;064.6;071.4;067.4;063.1;058.4;050.0
8;2019;12;28;E;066.2;071.8;068.0;064.1;061.2;058.4
8;2019;12;28;N;064.4;071.1;067.3;062.0;053.8;046.8
8;2019;12;28;T;064.8;071.3;067.6;063.0;057.1;048.3
10;2019;12;28;D;064.0;071.9;067.0;059.4;053.4;048.5
10;2019;12;28;E;065.5;072.1;067.3;060.7;055.9;051.5
10;2019;12;28;N;059.8;069.6;063.7;054.8;047.3;043.1
10;2019;12;28;T;063.3;071.5;066.2;058.5;050.9;044.5
11;2019;12;28;D;065.6;071.4;068.5;064.2;057.3;050.9
11;2019;12;28;E;066.3;071.4;068.7;065.3;060.3;055.6
11;2019;12;28;N;062.6;070.2;066.8;059.6;050.4;045.6
11;2019;12;28;T;065.0;071.1;068.2;063.3;054.4;047.3
12;2019;12;28;D;062.9;071.7;063.3;059.4;055.1;051.6
12;2019;12;28;E;064.4;073.9;064.5;060.8;057.3;054.4
12;2019;12;28;N;058.4;065.3;060.5;055.6;049.8;046.7
12;2019;12;28;T;062.2;070.8;063.0;058.6;052.7;047.9
13;2019;12;28;D;056.8;064.9;058.8;054.8;051.5;050.1
13;2019;12;28;E;062.5;066.1;060.5;055.6;052.8;051.3
13;2019;12;28;N;058.2;060.7;055.1;051.1;049.6;049.0
13;2019;12;28;T;058.8;064.3;058.5;053.8;050.3;049.1
14;2019;12;28;D;064.0;070.6;065.4;062.6;059.2;055.2
14;2019;12;28;E;064.2;070.2;065.1;062.8;060.4;058.6
14;2019;12;28;N;060.9;067.7;063.7;058.8;053.2;049.2
14;2019;12;28;T;063.2;069.5;064.9;061.9;056.2;050.8
16;2019;12;28;D;060.2;066.7;063.9;058.6;048.1;043.3
16;2019;12;28;E;061.4;067.4;064.8;060.3;052.1;045.9
16;2019;12;28;N;057.6;066.3;062.1;052.2;041.9;039.8
16;2019;12;28;T;059.7;066.8;063.8;057.5;044.7;040.4
